date,totalRequests,paidImpressions
01/01/2017,31351082846,421399238
02/01/2017,34387157979,513593448
03/01/2017,34727160058,569505033
04/01/2017,35597810574,561132653
05/01/2017,37750130573,555823148
06/01/2017,37218507053,540212444
07/01/2017,36107932869,485928116
08/01/2017,37218275457,505195438
09/01/2017,39435544846,564318040
10/01/2017,38934689289,554858661
11/01/2017,39093705621,570057492
12/01/2017,37029549110,526295740
13/01/2017,37634953863,567753162
14/01/2017,35289711959,493264314
15/01/2017,36947580623,502887886
16/01/2017,39084568128,567909441
17/01/2017,40524032029,624624721
18/01/2017,40155912356,619900084
19/01/2017,39519790528,587787037
20/01/2017,36862085792,579896330
21/01/2017,32885786234,500093178
22/01/2017,34212072626,521007371
23/01/2017,35973440547,620638557
24/01/2017,37317504032,607516465
25/01/2017,36543690096,627633028
26/01/2017,36751050527,620854943
27/01/2017,37454107406,643441640
28/01/2017,35071944183,558608496
29/01/2017,36778539794,565788940
30/01/2017,40613533797,642532823
31/01/2017,39217844352,609264319
01/02/2017,37884130413,562664087
02/02/2017,38622086683,594034433
03/02/2017,36345687490,592588333
04/02/2017,34551335906,518663847
05/02/2017,35106579489,524349046
06/02/2017,38625102888,595960640
07/02/2017,39437238256,606129333
08/02/2017,37484136748,598374788
09/02/2017,38063862641,616613319
10/02/2017,37209738945,630561002
11/02/2017,35660392966,533543912
12/02/2017,37553968605,548593437
13/02/2017,36489051137,631665760
14/02/2017,38261354471,649886524
15/02/2017,38983749167,626707924
16/02/2017,39979355058,627416633
17/02/2017,36393258428,622868300
18/02/2017,35242904906,555232244
19/02/2017,36946508327,567916584
20/02/2017,39346494796,635002440
21/02/2017,39847612217,658218362
22/02/2017,40500689470,678748847
23/02/2017,38582131414,657421092
24/02/2017,37814030493,667907480
25/02/2017,37256264313,590669908
26/02/2017,39608826219,598653610
27/02/2017,42985894681,675285179
28/02/2017,41719152574,594089691
01/03/2017,43288789478,594736415
02/03/2017,43933998834,627465032
03/03/2017,43460449530,592077491
04/03/2017,41211055225,552663023
05/03/2017,43700136440,559566440
06/03/2017,43914079814,613312115
07/03/2017,40785486908,608849055
08/03/2017,40345938767,624725241
09/03/2017,40946174029,603620972
10/03/2017,40788658364,601429669
11/03/2017,39198177461,536939964
12/03/2017,37651021229,517424451
13/03/2017,41240311366,622921028
14/03/2017,42290301766,642529914
15/03/2017,41319378053,650543281
16/03/2017,40127600663,654606818
17/03/2017,41504989358,631644220
18/03/2017,39390323016,548605451
19/03/2017,40721526074,559176360
20/03/2017,43622532115,647130031
21/03/2017,42846654570,655904032
22/03/2017,41714749862,662327332
23/03/2017,41453601655,590441613
24/03/2017,41357872954,578841079
25/03/2017,38109550512,555045222
26/03/2017,39791228361,572892761
27/03/2017,43504223957,672775637
28/03/2017,42571936430,657443254
29/03/2017,41825974880,640028854
30/03/2017,42018672699,654780388
31/03/2017,41412369893,623618131
01/04/2017,40004305938,480087283
02/04/2017,42419951645,489246487
03/04/2017,43444286639,565222767
04/04/2017,42785624694,567716504
05/04/2017,42058715056,600543797
06/04/2017,41283634608,619549353
07/04/2017,39264791645,620924580
08/04/2017,37085546234,529136443
09/04/2017,38146676423,555416297
10/04/2017,41108724462,668152468
11/04/2017,41285458096,683973096
12/04/2017,42157834718,688462010
13/04/2017,41639183956,684042731
14/04/2017,39487032609,624788016
15/04/2017,37203741135,511276559
16/04/2017,37696193240,511145484
17/04/2017,41521040655,594645432
18/04/2017,40503912733,629493117
19/04/2017,41673023802,656886395
20/04/2017,40872503083,664506931
21/04/2017,40596727143,643515326
22/04/2017,38224155881,559449449
23/04/2017,39764250539,591238898
24/04/2017,42481216610,655608993
25/04/2017,42192435563,667572394
26/04/2017,41198291534,708382593
27/04/2017,39566007908,720299712
28/04/2017,37637182623,729590922
29/04/2017,33232061200,602597618
30/04/2017,35778893341,593547880
01/05/2017,39480742844,680701576
02/05/2017,38626330838,684880224
03/05/2017,36848129365,677677278
04/05/2017,37231835048,643995696
05/05/2017,37270291624,606423184
06/05/2017,34450314301,512345050
07/05/2017,35837384018,533936140
08/05/2017,39548382026,617210727
09/05/2017,39694729276,610189342
10/05/2017,38357846137,615558965
11/05/2017,36742593045,633661198
12/05/2017,34739029345,615525214
13/05/2017,31968095366,520423052
14/05/2017,32908646903,515426765
15/05/2017,37485952155,658090199
16/05/2017,37469429433,664010618
17/05/2017,38441707501,674139265
18/05/2017,38678100012,634263456
19/05/2017,37564692321,647412351
20/05/2017,31705447109,549202301
21/05/2017,34300415795,571357012
22/05/2017,39534407940,658492625
23/05/2017,40070133729,705553901
24/05/2017,40675212854,740112341
25/05/2017,39255491509,723780466
26/05/2017,38714974209,712511406
27/05/2017,35197599131,640075417
28/05/2017,37325139838,668485708
29/05/2017,40512935784,736377321
30/05/2017,42419301175,771546165
31/05/2017,42010253925,765208136
01/06/2017,42455128812,731650729
02/06/2017,40955137766,726334904
03/06/2017,38425169133,676428061
04/06/2017,40763864273,688909463
05/06/2017,43220531059,747098363
06/06/2017,44260311912,723583283
07/06/2017,45906547062,671893961
08/06/2017,45895065357,696066816
09/06/2017,42970144011,606989566
10/06/2017,40101745756,501584517
11/06/2017,42865875468,527907118
12/06/2017,45385280786,609924859
13/06/2017,45298234612,596930037
14/06/2017,43799076632,611738232
15/06/2017,41164229177,642547970
16/06/2017,40520900948,623373009
17/06/2017,36335520755,554142102
18/06/2017,37931534137,564615972
19/06/2017,42599819445,660287196
20/06/2017,42712732618,675656646
21/06/2017,42850174892,703819168
22/06/2017,42813034654,800966243
23/06/2017,39071344155,878925560
24/06/2017,33773623616,759448415
25/06/2017,35658283835,767107271
26/06/2017,40832516930,875483342
27/06/2017,40807086538,908685039
28/06/2017,40191403402,942989084
29/06/2017,40909875609,951964234
30/06/2017,40393455222,859486407
01/07/2017,36578658263,671719797
02/07/2017,36399596786,679691451
03/07/2017,39665028467,770487601
04/07/2017,38255646044,724564920
05/07/2017,42890314971,702120469
06/07/2017,44210876296,621020483
07/07/2017,42971964384,592749789
08/07/2017,39752123455,516427854
09/07/2017,39056042962,552383402
10/07/2017,44716636523,646826341
11/07/2017,44366963802,622966375
12/07/2017,43219598484,634745789
13/07/2017,40608384498,627157228
14/07/2017,36948630947,589444804
15/07/2017,34152456116,486749208
16/07/2017,34237955427,491948657
17/07/2017,40663786402,593647720
18/07/2017,41010309379,602516263
19/07/2017,37870544180,614533257
20/07/2017,38829100752,637772558
21/07/2017,37453141298,609234907
22/07/2017,34972143625,542111871
23/07/2017,35894108287,542416746
24/07/2017,40055734494,646665917
25/07/2017,38479618976,670226484
26/07/2017,40779996587,678234767
27/07/2017,44493050191,728882957
28/07/2017,40632663970,678848552
29/07/2017,36211470631,585784962
30/07/2017,41953806649,681165753
31/07/2017,43362520333,669426114
01/08/2017,42366928370,625158329
02/08/2017,44046816614,628704255
03/08/2017,41780917004,634943916
04/08/2017,39745890726,589871391
05/08/2017,36769463429,519554514
06/08/2017,37534620836,549181405
07/08/2017,41418567630,672224224
08/08/2017,41977546953,713126079
09/08/2017,41853492624,686213229
10/08/2017,38827621604,724753371
11/08/2017,38674004954,676221620
12/08/2017,34880459832,604561427
13/08/2017,35567445169,597701563
14/08/2017,40893767376,692610257
15/08/2017,41300537061,661391425
16/08/2017,42113546729,650241425
17/08/2017,41762643696,652804296
18/08/2017,39798818239,635599986
19/08/2017,35968077236,544541577
20/08/2017,37846665722,550841671
21/08/2017,43339908055,644917134
22/08/2017,41183109399,626954531
23/08/2017,40628082445,625084741
24/08/2017,39826151788,624841349
25/08/2017,38199051730,610674250
26/08/2017,33458079962,562862606
27/08/2017,37650848946,576570969
28/08/2017,39880119174,664297154
29/08/2017,39870374210,671928455
30/08/2017,38479991580,665057523
31/08/2017,38062728373,624252883
01/09/2017,37968333455,583052234
02/09/2017,34046778472,501312720
03/09/2017,36673454425,522151047
04/09/2017,38854582237,568103522
05/09/2017,41444509101,611020707
06/09/2017,43010053743,609966379
07/09/2017,40408522794,603195048
08/09/2017,37919608178,598261907
09/09/2017,35276283690,513474432
10/09/2017,37916881140,535159354
11/09/2017,40365711717,617644659
12/09/2017,40003450946,622839826
13/09/2017,38412941772,587644620
14/09/2017,40459624054,664773983
15/09/2017,40024215174,635083477
16/09/2017,36853795150,546598634
17/09/2017,40743510112,573890002
18/09/2017,46543929494,678999597
19/09/2017,44732981726,651843545
20/09/2017,44152446731,695342779
21/09/2017,35362307966,546153080
22/09/2017,39812313576,631171804
23/09/2017,40402675248,582878718
24/09/2017,42735617455,609022355
25/09/2017,46516141314,702010509
26/09/2017,46319764732,654350123
27/09/2017,42946894780,701586660
28/09/2017,42151061445,716832974
29/09/2017,42073712331,706902688
30/09/2017,40107797850,566486536
01/10/2017,42418090092,561293996
02/10/2017,45709447412,629874757
03/10/2017,44037362111,617762161
04/10/2017,45325001834,622656772
05/10/2017,44675132400,616961803
06/10/2017,43537370429,613623393
07/10/2017,42132501479,526793956
08/10/2017,43892475624,564273115
09/10/2017,47556995879,591970370
10/10/2017,45533571438,610133330
11/10/2017,47883156796,629630498
12/10/2017,45028622179,613015974
13/10/2017,43734087991,596761982
14/10/2017,40918145200,543927569
15/10/2017,44214804625,566567877
16/10/2017,49684481966,679579110
17/10/2017,47769238141,635090950
18/10/2017,48310280822,635198472
19/10/2017,45818669094,639634934
20/10/2017,46943543334,652935836
21/10/2017,42032416042,578668166
22/10/2017,45351476334,603448150
23/10/2017,49262480490,672998091
24/10/2017,51414623591,677244398
25/10/2017,53708509907,673651705
26/10/2017,52622090029,694644691
27/10/2017,50627871334,678025773
28/10/2017,43728890711,582574425
29/10/2017,50982818394,638736499
30/10/2017,57116936719,822873331
31/10/2017,57709189079,707170014
01/11/2017,62357991354,645697327
02/11/2017,62552094092,706772220
03/11/2017,58734980073,631205159
04/11/2017,48014358798,527650956
05/11/2017,53498978691,573969285
06/11/2017,59177479933,660146160
07/11/2017,58399710939,653576692
08/11/2017,63633537602,639523428
09/11/2017,60455926154,632447634
10/11/2017,55590986794,609459872
11/11/2017,48921911131,534474606
12/11/2017,52621367397,557627280
13/11/2017,60774533716,653662241
14/11/2017,58205385509,671263680
15/11/2017,58186155363,677273009
16/11/2017,59225297318,673362765
17/11/2017,49949536963,634962503
18/11/2017,42799850083,539516256
19/11/2017,45024930726,550820226
20/11/2017,52344430390,657750914
21/11/2017,48394623389,646427674
22/11/2017,47565554984,644758890
23/11/2017,40622420222,562643844
24/11/2017,41762431314,598905500
25/11/2017,42119056253,571030474
26/11/2017,46343107753,604389937
27/11/2017,51985840978,712192650
28/11/2017,50063261948,705110683
29/11/2017,54456962733,681483499
30/11/2017,53149484627,615088503
01/12/2017,52957690510,594002638
02/12/2017,48382106502,528226227
03/12/2017,50463503472,529464266
04/12/2017,59401480478,617832655
05/12/2017,60593630638,612700283
06/12/2017,55555346874,625764810
07/12/2017,50094241871,633614672
08/12/2017,47224573644,611644802
09/12/2017,43248531593,554935583
10/12/2017,44684019115,530365093
11/12/2017,50581920504,669083325
12/12/2017,50426608456,685270997
13/12/2017,49807291096,696804413
14/12/2017,48040483247,682172346
15/12/2017,46426553306,642240528
16/12/2017,41073930279,544451141
17/12/2017,44097885633,562490866
18/12/2017,38936757442,499833970
19/12/2017,48469620419,644746752
20/12/2017,46344810718,649112248
21/12/2017,45221984308,595099285
22/12/2017,45012307969,587522531
23/12/2017,40881228255,528733108
24/12/2017,37456799268,471720300
25/12/2017,38259421739,495890970
26/12/2017,45990424557,598685409
27/12/2017,48779394806,653938351
28/12/2017,47137377452,678819384
29/12/2017,46491767215,591859940
30/12/2017,43666529478,501635396
31/12/2017,42105130997,401077348
01/01/2018,42184898546,375610723
02/01/2018,46758139158,440156986
03/01/2018,44904798541,429777439
04/01/2018,45996372926,434492942
05/01/2018,44380714464,428606252
06/01/2018,40593346510,370840072
07/01/2018,43005101240,386090618
08/01/2018,45031572224,406198969
09/01/2018,47010598429,473517181
10/01/2018,45310514481,471236386
11/01/2018,47413385351,492446754
12/01/2018,45859601008,485646062
13/01/2018,42224284522,422670919
14/01/2018,42069837157,435103080
15/01/2018,49585361369,506726891
16/01/2018,49910678959,524716457
17/01/2018,49415268839,522019186
18/01/2018,48469347963,522053657
19/01/2018,45254880908,493412207
20/01/2018,41825169515,425566371
21/01/2018,43681240540,441942329
22/01/2018,49824585314,527970562
23/01/2018,46611198471,526427583
24/01/2018,46246058505,506407411
26/01/2018,41986025043,488126772
27/01/2018,38374159509,428593203
28/01/2018,39478229643,442586095
29/01/2018,43078437902,521236211
30/01/2018,43360025292,542457627
31/01/2018,42597739167,520036901
01/02/2018,41613100683,504511609
02/02/2018,40042091454,487551823
03/02/2018,38658611190,416271622
04/02/2018,41707766779,427603165
05/02/2018,45005495461,510347632
06/02/2018,44451399848,525391984
07/02/2018,44062264778,542477763
08/02/2018,44615694520,530820439
09/02/2018,42744489699,491599799
10/02/2018,40750558919,435855901
11/02/2018,41765009062,427974165
12/02/2018,45786578537,498685233
13/02/2018,48985694072,531626749
14/02/2018,47667743411,518898840
15/02/2018,48727494366,508672799
